Canonical_smiles,InChI_Key
C[C@@H]1CCCN1CCc1ccc2nc(-c3c(C(F)(F)F)[nH]ccc3=O)ccc2c1,SWRFDYJXSAYWRI-CQSZACIVSA-N
Cc1n[nH]c(C)c1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,VRYZIAQDGOAPGT-CQSZACIVSA-N
Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1C,DTNZMCVNYXFSAS-OAHLLOKOSA-N
Cc1nc(C)c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)o1,BZUOLQNPHMFGPW-CQSZACIVSA-N
C[C@@H]1CCCN1CCc1ccc2nc(-c3cn[nH]c3)ccc2c1,CBYMJXSYCPSHQC-CQSZACIVSA-N
C[C@@H]1CCCN1CCc1ccc2nc(-c3cncnc3)ccc2c1,IBAYEFUGCWIWRD-OAHLLOKOSA-N
c1ccc(CN(c2cccc3[nH]ccc23)C2CCNC2)cc1,XKSDRPDCFRLCJY-UHFFFAOYSA-N
c1ccc(CN(c2cccc3[nH]ccc23)C2CCCNC2)cc1,KTHUCECWSSNXTR-UHFFFAOYSA-N
CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccccc2)nc1,GDOMNXZMDUPISD-HOTGVXAUSA-N
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,URKOMYMAXPYINW-UHFFFAOYSA-N
CC#CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,NQNTUCLHZLYJJD-UHFFFAOYSA-N
CC(=O)C1=NN2c3cc(F)ccc3OC[C@H]2[C@@]1(CCCN1CCN(C(C)=O)CC1)c1ccccc1,BWKAHABETZLDBG-AHKZPQOWSA-N
CC(=O)N1CCC2(CCCN(c3ccc(C(=O)Nc4cc(-c5cccs5)ccc4N)cn3)C2)C1,XEFVDOQLJDPHEO-UHFFFAOYSA-N
CC(=O)N1CCC2(CCN(c3ccc(C(=O)Nc4cc(-c5cccs5)ccc4N)cn3)C2)C1,NMYJHEVKOMVYHA-UHFFFAOYSA-N
CC(C(=O)NCCCN1CCCC1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,QOASOIHGMRTDAE-UHFFFAOYSA-N
CC(C(=O)NCCN1CCCC1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,CWPASLOMOQBICF-UHFFFAOYSA-N
CC(OC(=O)N1CCC(CNc2ncccn2)CC1)c1ccccc1,IAMYDXLMYQNHNO-UHFFFAOYSA-N
CC(Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,QPPYSOHWFOUKPX-UHFFFAOYSA-N
CC(Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N1CCOCC1,DBSISHZEFSMQPK-UHFFFAOYSA-N
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@]1(C)O,RXJCJWPPKSQMAS-IRNFSOKPSA-N
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,RZEKVGVHFLEQIL-UHFFFAOYSA-N
Cc1ccc2c(-c3nnc(SCCC(C)N4CCc5cc6nc(C)oc6c(Br)c5CC4)n3C)cccc2n1,DJHAFQLSNXBKIX-UHFFFAOYSA-N
CC(=O)N1CCOc2cc3c(cc21)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,MDWSQWMMLXSJIP-UHFFFAOYSA-N
Cc1nc2c(F)cccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,KXXANGOYPBGNGG-UHFFFAOYSA-N
Cc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2ccc(F)c(F)c2)n1C)CC3,ZTSFFHIKWHSHGP-UHFFFAOYSA-N
Cc1ccc2nc(C)n(-c3ccc(OCCCN4CCCC4)cc3)c(=O)c2c1,WZRDTUYSOKIWCB-UHFFFAOYSA-N
Cc1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,DDDZBLNULGDPGA-UHFFFAOYSA-N
Cc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,PEXQMYKPVANJKN-UHFFFAOYSA-N
Cc1ncc(-c2cccc3c2CC(NC(=O)c2ccc(OCC(F)(F)F)nc2)CO3)cn1,WHKCHEYISYPOKV-UHFFFAOYSA-N
CC1CN(Cc2cccc(-c3cc(CNC(=O)c4cccc(CC5CCNCC5)c4)ccc3F)c2)CCN1,ZOZCBLGQKDOWFZ-UHFFFAOYSA-N
Cc1nc(N2CCCC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12,MXDQNCXNQJMIEH-UHFFFAOYSA-N
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C)oc6cc5CC4)n3C)cccc2n1,XQYFTHHWGHOOSS-UHFFFAOYSA-N
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,QPCVHQBVMYCJOM-UHFFFAOYSA-N
Clc1cccc(OC(c2ccccn2)C2CCNC2)c1Cl,KWWVMVUZZJMGRZ-UHFFFAOYSA-N
Clc1c(OCCNCc2cccs2)ccc2ccccc12,JCWJSNIUPWLSJT-UHFFFAOYSA-N
CC(Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1)C(F)(F)F,UBTBYWQGFUUODC-UHFFFAOYSA-N
O=C1NCCN1CCN1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,PFOLMILRZUSKJO-UHFFFAOYSA-N
Clc1ccc(CNCCOc2ccc3ccccc3c2Cl)o1,JNAZBAOZJHRDCG-UHFFFAOYSA-N
CC(C)(C)CNc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2,GQSHMOXUVVFBPL-UHFFFAOYSA-N
CN(C)[C@H]1CC[C@H](c2ccc(OCCCN3CCCCC3)cc2)CC1,NBCFVKKQKAXINS-XUTJKUGGSA-N
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(SCC(=O)N3CCCCC3)cc2C(=O)Nc2ccc(Cl)cn2)cc1,KOYUZYAZOPOJGS-UHFFFAOYSA-N
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(SCC(=O)N3CCN(C(=O)OC(C)(C)C)CC3)cc2C(=O)Nc2ccc(Cl)cn2)cc1,UMLCYUBVXFSOET-UHFFFAOYSA-N
CN(C)Cc1cc(OCCCCN2CCCCC2)ccc1Nc1ncnc2ccccc12,CJYFTLDCHCNKOV-UHFFFAOYSA-N
CN(C)Cc1ccc2c(c1)CC[C@H](N(C)C(=O)c1ccc(-c3ccc(F)cc3)nc1)C2,ONJIDPSNVZIKJS-DEOSSOPVSA-N
CN(C)CCOc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2,XOFKBZXMDGGJMM-UHFFFAOYSA-N
Cc1ncsc1-c1nnc(CCCCCN2CC3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)n1C,LECDHJJUFHCTDQ-LEQGEALCSA-N
Cn1c(N(Cc2ccc(C(=O)Nc3nnn[nH]3)cc2)[C@H]2CC[C@H](C(C)(C)C)CC2)nc2cc(C(F)(F)F)ccc21,WSMJMACKNHBKSD-XUTJKUGGSA-N
CN1CC2CC1CN2c1ccc(-c2ccccc2)cn1,FSBKKFGQSCIUHX-UHFFFAOYSA-N
Cc1ccc(-n2nc(C)c(C(=O)NC3COc4cccc(N5CCN(C)CC5)c4C3)n2)c(C)c1,OSYIFZXDCWRTND-UHFFFAOYSA-N
CNCCC(Oc1cc(Cl)ccc1C#N)c1ccccc1,MKUBTKKSMXGZTR-UHFFFAOYSA-N
COc1cc(N2CC3COCC(C2)N3)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,LYHJDICGPZUYSN-UHFFFAOYSA-N
COc1cc(OC2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,RNGFVIWQFGXUID-UHFFFAOYSA-N
COc1cc2nnc(C(N)=O)c(Nc3cccc(Cl)c3F)c2cc1N1CCN(C)CC1,WQSAHRZHKPUJHY-UHFFFAOYSA-N
COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)CS2)cc1,JFLAZALMCCYJTK-UHFFFAOYSA-N
COc1ccc(-c2ccc(CCCNc3ccc(CN4CCCCC4)cc3)nn2)cc1,UKHHETYTQCSWPT-UHFFFAOYSA-N
COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN(C)C)c(C)c4)C3)o2)cc1,LMMYTKUIDPWMNY-UHFFFAOYSA-N
COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN5CC(O)C(C)(C)C5)cc4)C3)o2)cc1,APBDYRIKMRSCNR-UHFFFAOYSA-N
COc1ccc(CC(=O)NCc2ccccc2-c2ccccc2C(=O)NCCc2cccnc2)cc1,CHDSRMIDIQABTP-UHFFFAOYSA-N
COc1ccc2nc(C)n(-c3ccc(OCCCN4CCCC4)cc3)c(=O)c2c1,ZEYAXGNLTQYPRW-UHFFFAOYSA-N
COc1ccc2c(=O)n(-c3ccc(OCCCN4CCCC4)cc3)c(C)nc2c1,IHKNQMXGZAHPFS-UHFFFAOYSA-N
COc1ccc2c(ccc(=O)n2CCN2CCC(NCc3cnc(C)c(C#N)c3)CC2)n1,YFMQHUHDMJCXEB-UHFFFAOYSA-N
COc1cccc(CN(c2cccc3[nH]ccc23)C2CCNCC2)c1,IWAYMZQFOINIBE-UHFFFAOYSA-N
COc1cccc2nc(C)n(-c3ccc(OCCCN4CCCC4)cc3)c(=O)c12,ZPPSMSQFRIDOED-UHFFFAOYSA-N
COc1cccc2c(=O)n(-c3ccc(OCCCN4CCCC4)cc3)c(C)nc12,PIVGGMBOWQDOKF-UHFFFAOYSA-N
COc1cnc2ccc(=O)n(CCN3CCC(c4nc5cc(C#N)c(C)cc5[nH]4)CC3)c2c1,QPIAIQHJZYBDGV-UHFFFAOYSA-N
COc1cnc2ncc(=O)n(CCN3CCC(c4nc5cc(Cl)c(C)cc5[nH]4)CC3)c2c1,QEODGMHUDFTKEX-UHFFFAOYSA-N
COc1cnc2ccc(=O)n(CCN3CCN(c4nc5cc(C(F)(F)F)ccc5[nH]4)CC3)c2c1,MZVQUVZELIRHGW-UHFFFAOYSA-N
COc1ccc2c(=O)n(CC(CO)NCc3cccnc3)c(C#N)c(-c3ccccc3)c2c1,QVXQKRAROJSQBS-UHFFFAOYSA-N
COCCCc1cc(C)c(C)c(CN(C(=O)[C@H]2CNCC[C@@]23OCc2cc(F)c(F)cc23)C2CC2)c1,JEGFJOUJUPKNPT-IRPSRAIASA-N
CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cn2)C[C@@H]1F,BOSVYVGSGZEAPB-VQTJNVASSA-N
O=S(=O)(Nc1ccc(C23CNCC2C3)cc1)c1ccc(OC(F)(F)F)cc1,AJNRYBGLAQDAEO-UHFFFAOYSA-N
FC(F)(F)Oc1cccc(-n2nnc3ccc(NCC4CCNCC4)nc32)c1,OZAALIWIRMBCOR-UHFFFAOYSA-N
O=C(Nc1ccc(-c2nnc(NCCCN3CCCCC3)o2)c(F)c1)c1ccccc1F,NCQMWVKUWZGXIY-UHFFFAOYSA-N
CC(C)(CN1CCC(=C2c3ccc(F)cc3COc3ccccc32)CC1)C(=O)O,OMHNNPPNYKUGBF-UHFFFAOYSA-N
O=C(Nc1ccc(-c2nnc(NCCCN3CCCCC3)o2)cc1)c1ccc(F)cc1,QSTGKJAONZGCFL-UHFFFAOYSA-N
C[C@@H]1CCC[C@H](C)N1Cc1ccc2c(c1)CC[C@H](N1CCN(CCc3ccc(F)cc3)CC1=O)C2,HHQBGLFFTJIAEO-CTWZREHQSA-N
O=C1CN(CCc2ccc(F)cc2)CCN1[C@H]1CCc2cc(CNCC(F)(F)F)ccc2C1,BZZAXSZUWDZRBM-QHCPKHFHSA-N
Cc1nc2ccccc2n1C1C[C@H]2CC[C@H](C1)N2CCC1(c2cccc(F)c2)CCN(C(=O)c2ccc(NS(C)(=O)=O)cc2Cl)CC1,KBOPCOOXEUGKAG-FQLXRVMXSA-N
Fc1cccc(-c2nc3cnn(Cc4ccc(-c5ccc(C(F)(F)F)cc5C(F)(F)F)nc4)cc-3n2)c1F,WZFJSTZORFMJFF-UHFFFAOYSA-N
Cc1nc2cccc(F)c2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,XXLZFTAERDLUAG-UHFFFAOYSA-N
N#Cc1cc(N2CCN(CCN3Cc4ccccc4C3)C2=O)ccc1F,DGTBKKBZRIVWMP-UHFFFAOYSA-N
CC(C)(O)C(=O)N1CCC(CCN2CCC(N(C(=O)NCc3ccc(C#N)cc3)c3cccc(F)c3)CC2)(c2cccc(F)c2)CC1,WTOPKYCFRUBLMK-UHFFFAOYSA-N
N#Cc1ccc2nc(C3CCC4(CC3)CN(c3ccccc3)C(=O)O4)[nH]c2c1,VJDPCRVAZYFIDE-UHFFFAOYSA-N
N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CC[C@@H](NC(=O)Cc3cncn3C2)C1=O,RBZQXEMPWMGPEK-HSZRJFAPSA-N
N#Cc1cccc(CN(c2cccc3[nH]ccc23)C2CCNCC2)c1,DDKSIYXBCQRCLZ-UHFFFAOYSA-N
CC(C)c1nc(N2CCN(c3ncc(OCc4ccncc4C#N)cn3)C(C)C2)no1,UNGZTVLHLKAKQE-UHFFFAOYSA-N
c1ccc(CN(c2cccc3sccc23)C2CCNCC2)cc1,YWBYAAXIALYEHT-UHFFFAOYSA-N
c1ccc(CN(c2cccc3[nH]ncc23)C2CCNCC2)cc1,NBUVTEUWOVUHAU-UHFFFAOYSA-N
C[C@@H]1CCCN1CCc1ccc2ncccc2c1,HUQYUKHHFHNJRR-CYBMUJFWSA-N
Cc1ncc(-c2ccnc(Nc3ccc(C(N)=O)c(F)c3)n2)n1C(C)C,BPYCWQSOZDKONE-UHFFFAOYSA-N
Nc1ccc(-c2nnc(C3CCN(Cc4ccc(-c5nc6cc[nH]c(=O)c6cc5-c5ccccc5)cc4)CC3)[nH]2)cn1,RPJKTTWXGDPQJT-UHFFFAOYSA-N
Cc1cccc(C)c1OC[C@@H](C)N,VLPIATFUUWWMKC-SNVBAGLBSA-N
CC(C)NC[C@@H](O)COc1cccc2ccccc12,AQHHHDLHHXJYJD-CQSZACIVSA-N
C[C@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,QPPYSOHWFOUKPX-INIZCTEOSA-N
C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N1CCOCC1,DBSISHZEFSMQPK-GOSISDBHSA-N
CC(Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ccc(C(F)(F)F)cc2)CC1)C(F)(F)F,ZHCZMQFTDTVWLU-UHFFFAOYSA-N
CC(=O)N1CCC2(CCN(c3ccc(C(=O)Nc4cc(-c5cccs5)ccc4N)cn3)CC2)C1,RSSAPDUETMNSKF-UHFFFAOYSA-N
CC(=O)N1CC2(CCN(c3ccc(C(=O)Nc4cc(-c5cccs5)ccc4N)cn3)CC2)C1,MDMBPFYECCKNBK-UHFFFAOYSA-N
Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(N2CCC3(CCNC3)CC2)nc1,CHKGICCHQYDKNR-UHFFFAOYSA-N
O=C(NCCc1ccccn1)C1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,BKNLFUYWWCRDDZ-UHFFFAOYSA-N
O=C(C1CCN(c2cccc(C(F)(F)F)n2)CC1)N1CCC(NC2CCC(O)(c3ccc(-c4ncccn4)cn3)CC2)C1,ZJHJRHOLIVTDGJ-UHFFFAOYSA-N
O=C(NCC1(N2CCOCC2)CCCC1)N1CCC(c2nc(-c3ccc4ccccc4n3)no2)CC1,NBJILRZVNWFATM-UHFFFAOYSA-N
O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccncc3)no2)CC1,BLVRDPUKIXDEBG-UHFFFAOYSA-N
O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,MFJWXRIWIGLCGD-UHFFFAOYSA-N
O=C(C1CCCCN1C(=O)CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCCC1,LWYNHLQFGJBUEK-UHFFFAOYSA-N
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CCN(CCC2CCN(C(=O)c3cc(F)ccc3F)CC2)C1,JOIKNLCNOLUIEO-UHFFFAOYSA-N
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN(C2CCC(O)(c3ccccc3)CC2)C1,QCPLMEBVJKAVGY-UHFFFAOYSA-N
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN(C2CCC(c3ccc(O)cn3)CC2)C1,ZXLRVOHADIRDTA-UHFFFAOYSA-N
O=C(Nc1ccc(S(=O)(=O)Nc2ccccc2C(=O)c2ccccn2)cc1)OCC1CCCO1,PLUSCNOLGPTWEQ-UHFFFAOYSA-N
C[C@H]([C@@H](O)c1ccc2c(c1)CCC(=O)N2)N1CCC(O)(c2cccc(F)c2)CC1,RRFPMVCMACNLJQ-IVZQSRNASA-N
O=C1CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C(=O)N1C1CCC1,FFJBSTIXVJOIBB-UHFFFAOYSA-N
O=C1CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C(=O)N1CC(F)(F)F,GRMUMARBFBEJJG-UHFFFAOYSA-N
O=C1CN(Cc2ccc(-c3ccc(F)c(CN4CCCCC4)n3)cc2)C(=O)N1CC1CC1,FYSLKHHAYTZFMU-UHFFFAOYSA-N
O=C1CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C(=O)N1CC1CC1,XXIXUFWGNLLBPB-UHFFFAOYSA-N
Cc1ncccc1C(=O)N1CC[C@H](NCc2cncn2Cc2ccc(C#N)cc2)C1=O,DEGBCQBDRINUIO-NRFANRHFSA-N
CC(=O)n1ccc2cc(N3CCN(CCN4Cc5ccccc5C4)C3=O)ccc21,JPTWRZCVSGGHPS-UHFFFAOYSA-N
O=C1NCc2c(-c3ccccc3Cl)nc(N3CCc4[nH]ncc4C3)nc2N1c1c(Cl)cccc1Cl,NRJVTEDJTWVQDN-UHFFFAOYSA-N
O=S(=O)(CCN1CC[C@@H](Cc2ccccc2)[C@H](O)C1)c1ccc(O)cc1,UDLDPIPQVZOCPK-FXAWDEMLSA-N
c1cc(C2=NCCO2)ccc1OCCCN1CCCCC1,HZEJDUONRSVLKB-UHFFFAOYSA-N
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(Cl)cc4)sc3C)c2)cc1,HPRCKBOWJYALMP-UHFFFAOYSA-N
O=C(NC1COc2cccc(-c3ccc(CO)nc3)c2C1)c1ccc(OCC(F)(F)F)nc1,DXYBEOOKXLMROC-UHFFFAOYSA-N
CN([C@@H]1c2cc(OCCCC(F)(F)F)ccc2OC(C)(C)[C@H]1O)S(C)(=O)=O,SRZRLJWUQFIZRH-CABCVRRESA-N
CN(C(=O)Cc1ccc(CNS(C)(=O)=O)cc1)[C@@H](CN1CC[C@@H](O)C1)c1ccccc1,HLZPUXJHOJGNRM-YADHBBJMSA-N
NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,XUFQPHANEAPEMJ-UHFFFAOYSA-N
O=S(=O)(c1ccc(N2CCC2)cc1)C1(F)CCN(CCc2ccc(F)cc2F)CC1,WCUXCSHIFAMMQM-UHFFFAOYSA-N
COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)ccc5F)C4)C[C@@H]3C(=O)O)c2c1,ZHEWFNDKFYBUDO-SGUQQXKUSA-N
CC(C)NC[C@@H](O)COc1cccc2ccccc12,AQHHHDLHHXJYJD-CQSZACIVSA-N
Cc1ccc(-n2c(-c3ncccc3Cl)nc(CNC3CCCC3)c2C(C)C)cn1,BOWSGWFJDZSKQS-UHFFFAOYSA-N
CCN1CCN(c2cc3[nH]c(SC(C)(C)C)nc3cc2Cl)C(C)C1,NDISOCGETLUCIC-UHFFFAOYSA-N
CCOC(=O)Nc1ccccc1[C@@H](c1ccc(C(=O)N(CC)CC)cc1)N1CCN(Cc2ccccn2)CC1,KNZOXZAJOJLVKT-GDLZYMKVSA-N
Cc1nc(Oc2ccc(C(=O)O)cc2)ccc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2cccc(Cl)c2)CC1,UFZMURFKAOEOKB-PMERELPUSA-N
COc1cc(CN2CCOCC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,NXQPJQJTOHVJDX-UHFFFAOYSA-N
COc1ccc(-n2cnc3c(-c4ccccc4C)csc3c2=O)cc1,JDXZENOQNDFIER-UHFFFAOYSA-N
NC1CN(c2cnc3nccnc3n2)CCC1c1cc(F)c(F)cc1F,VQXQTZDDHVPBQB-UHFFFAOYSA-N
O=C(CO)NC1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1,IJHSPFFWIXGDBB-UHFFFAOYSA-N
CC(C)(C)c1[nH]c2ccccc2c1C1CCCN(Cc2ccc(/C=C/C(=O)NO)cc2Cl)C1,SARLJYCGRBSBIR-ACCUITESSA-N
N#Cc1cnc(Nc2cc(CN3CCN(C(=O)CO)CC3)ccn2)s1,WUAWDHDGRGQQSS-UHFFFAOYSA-N
CC(=O)N1CCC(C2NC(c3nc(-c4ccccc4)c[nH]3)Cc3c2[nH]c2ccccc32)CC1,LWTCFFYHTFIAEA-UHFFFAOYSA-N
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,USSIQXCVUWKGNF-UHFFFAOYSA-N
CCN(CC)CCOc1ccc(-n2ccc(OCc3ccccc3)cc2=O)cc1,BZUVXLPHVGFEJA-UHFFFAOYSA-N
O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCC1,SMZGEEUBHKHSFJ-UHFFFAOYSA-N
O[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1cc(-c2c(Cl)cccc2Cl)on1,FAYUIOXPYLILNE-ODXCJYRJSA-N
CN1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7cc[n+]([O-])cc7)[nH]6)CC5)cc4)nc3n2)CC1,BCZGXEZPALEJJW-UHFFFAOYSA-N
Cn1cnc(-c2ccc(N)c(NC(=O)c3ccc(N4CCC5(CCNC5)CC4)nc3)c2)c1,QNKFAFLRGQUIPR-UHFFFAOYSA-N
COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN5CCOCC5)c(OC)c4)C3)o2)cc1,PLIGIDXAMNZKAT-UHFFFAOYSA-N
COCC(F)(F)COCc1ccc([C@]2(O)CCNC[C@@H]2c2ccc(-c3ccccc3CCNC(C)=O)cc2C)cc1,IWJPAZAMBMFUOO-ZQWAWDFXSA-N
CCc1n[nH]c(CC)c1Oc1cc(C#N)cc(C#N)c1,LTSBRJXQVVZDJZ-UHFFFAOYSA-N
Cc1c(Cl)cccc1N1CCN(CCCNC(=O)c2nc(-c3ccccc3)n(-c3ccccc3)c2Cn2cncn2)CC1,YMAOGAGJBIXOCM-UHFFFAOYSA-N
Cc1cccc(C)c1C(=O)N1CCC(N2CCC(N(Cc3ccccc3)C(=O)C3CC3)C2)CC1,JMJZSLIIHVSDBK-UHFFFAOYSA-N
O=C1CCc2cc(C(O)CN3CCC(O)(c4cccc(F)c4)CC3)ccc2N1,ZTOSZJPNPROTBL-UHFFFAOYSA-N
CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,USSIQXCVUWKGNF-KRWDZBQOSA-N
CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,USSIQXCVUWKGNF-QGZVFWFLSA-N
COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)CC(N)Cc2ccccc2F)cc1,FZCVYOKVSXZELZ-QWAKEFERSA-N
COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)C[C@H](N)Cc2ccccc2F)cc1,FZCVYOKVSXZELZ-CTNGQTDRSA-N
